"unigram","BigramTM","TrigramTM","freq"
"should","have","been",7
"so","i","have",7
"so","i","was",7
"so","we","are",7
"some","kind","of",7
"sounds","like","a",7
"take","a","look",7
"talk","about","the",7
"tell","me","what",7
"that","awkward","moment",7
"that","he","had",7
"that","he","was",7
"that","i","didnt",7
"that","is","the",7
"that","she","was",7
"that","sounds","like",7
"that","we","are",7
"the","amount","of",7
"the","answer","to",7
"the","best","thing",7
"the","cost","of",7
"the","day","off",7
"the","face","of",7
"the","first","day",7
"the","lack","of",7
"the","land","of",7
"the","last","two",7
"the","man","who",7
"the","more","i",7
"the","only","way",7
"the","other","day",7
"the","people","who",7
"the","problem","is",7
"the","s","and",7
"the","size","of",7
"the","time","of",7
"the","world","i",7
"them","in","the",7
"there","are","no",7
"think","about","it",7
"think","i","need",7
"this","can","be",7
"this","is","an",7
"this","time","of",7
"this","was","the",7
"this","year","i",7
"to","be","my",7
"to","come","back",7
"to","come","out",7
"to","do","something",7
"to","follow","the",7
"to","get","out",7
"to","get","your",7
"to","give","you",7
"to","go","out",7
"to","have","been",7
"to","have","the",7
"to","hear","about",7
"to","listen","to",7
"to","make","this",7
"to","some","of",7
"to","the","top",7
"to","win","a",7
"to","work","on",7
"up","all","night",7
"up","on","my",7
"up","to","a",7
"us","in","the",7
"used","to","be",7
"want","you","to",7
"wanted","to","be",7
"was","a","great",7
"was","at","the",7
"was","such","a",7
"way","back","to",7
"way","to","get",7
"we","are","in",7
"we","are","not",7
"we","live","in",7
"what","are","your",7
"what","you","want",7
"whats","going","on",7
"when","i","first",7
"when","i","go",7
"when","you","see",7
"where","are","you",7
"where","they","are",7
"while","i","was",7
"will","be","there",7
"will","you","be",7
"with","my","mom",7
"working","on","a",7
"would","be","able",7
"would","make","a",7
"would","not","be",7
"you","can","get",7
"you","feel","like",7
"you","have","any",7
"you","have","the",7
"you","in","the",7
"you","know","i",7
"you","may","have",7
"you","on","the",7
"you","think","you",7
"you","to","be",7
"a","cup","of",6
"a","few","minutes",6
"a","link","to",6
"a","little","while",6
"a","new","one",6
"a","way","of",6
"a","year","ago",6
"after","a","long",6
"all","i","can",6
"all","i","want",6
"all","is","well",6
"all","kinds","of",6
"all","of","these",6
"all","of","you",6
"all","of","your",6
"all","you","have",6
"and","as","a",6
"and","for","the",6
"and","go","to",6
"and","how","to",6
"and","i","feel",6
"and","i","want",6
"and","i","were",6
"and","if","i",6
"and","no","one",6
"and","now","i",6
"and","now","its",6
"and","over","again",6
"and","that","i",6
"and","the","more",6
"and","then","the",6
"and","those","who",6
"and","tried","to",6
"and","went","to",6
"and","you","can",6
"any","of","my",6
"are","on","the",6
"around","the","corner",6
"as","well","and",6
"as","well","i",6
"at","all","times",6
"baby","baby","baby",6
"back","at","the",6
"back","to","school",6
"be","a","bit",6
"be","a","good",6
"because","i","have",6
"because","it","was",6
"been","a","long",6
"being","on","the",6
"book","in","the",6
"but","i","can",6
"but","i","love",6
"but","im","not",6
"but","there","is",6
"but","we","are",6
"by","the","way",6
"came","up","with",6
"can","be","found",6
"come","back","to",6
"come","up","with",6
"could","have","been",6
"didnt","want","to",6
"do","you","like",6
"doesnt","have","to",6
"dont","need","to",6
"down","on","the",6
"down","the","street",6
"during","the","day",6
"end","of","this",6
"even","if","i",6
"even","if","it",6
"excited","to","be",6
"excited","to","have",6
"feel","like","im",6
"first","day","of",6
"follow","me","on",6
"for","a","great",6
"for","a","reason",6
"for","a","week",6
"for","all","of",6
"for","all","your",6
"for","at","least",6
"for","me","it",6
"for","more","than",6
"for","the","new",6
"for","the","past",6
"from","one","of",6
"get","a","chance",6
"give","a","fuck",6
"go","ahead","and",6
"go","to","school",6
"good","luck","to",6
"great","meeting","you",6
"had","to","be",6
"had","to","do",6
"happy","to","see",6
"has","not","been",6
"have","come","to",6
"have","time","to",6
"have","you","ever",6
"he","did","not",6
"he","is","the",6
"he","wanted","to",6
"he","was","born",6
"here","are","some",6
"here","at","the",6
"here","i","come",6
"here","we","go",6
"hit","me","up",6
"how","do","i",6
"how","long","it",6
"how","many","times",6
